# 198.8
alt=25:00:03.658 az=179:05:46.444
alt=34:19:47.948 az=178:00:22.238
alt=44:46:55.835 az=175:30:57.893
alt=55:57:56.198 az=170:44:13.439
alt=66:17:16.297 az=160:59:47.373
alt=75:11:11.807 az=135:24:11.422
alt=77:39:18.452 az=104:50:43.679
alt=77:10:50.325 az=85:21:54.032
alt=75:11:37.773 az=66:39:38.716
# 176.5
alt=74:06:16.050 az=56:51:24.996
alt=75:46:28.253 az=82:35:17.872
alt=75:10:40.702 az=97:24:42.859
alt=74:16:57.176 az=107:18:36.702
alt=73:43:57.147 az=111:26:58.180
alt=64:12:08.856 az=138:01:20.542
alt=55:27:17.075 az=146:51:08.543
alt=48:15:12.946 az=151:01:47.914
alt=40:41:06.450 az=153:46:23.761
alt=30:25:11.014 az=156:00:34.735
alt=23:15:39.181 az=156:54:58.686
alt=18:40:53.928 az=157:30:17.984
# 150.8
alt=11:26:55.931 az=133:23:27.400
alt=23:04:59.538 az=132:27:18.750
alt=38:43:57.689 az=129:40:21.666
alt=47:21:17.739 az=127:05:47.996
alt=57:08:14.435 az=121:15:16.510
alt=68:08:50.073 az=107:16:12.784
alt=74:37:00.300 az=82:09:29.498
alt=76:03:23.151 az=48:27:24.803
# 128.4
alt=78:37:51.707 az=50:45:53.761
alt=73:51:00.638 az=78:36:53.358
alt=67:10:28.252 az=91:52:09.538
alt=56:50:11.783 az=101:55:20.683
alt=46:06:42.329 az=106:52:26.911
alt=36:01:49.349 az=109:00:57.651
alt=21:16:24.810 az=111:17:52.041
alt=11:11:11.031 az=112:12:38.810
# 109.8
alt=13:02:25.232 az=94:23:20.769
alt=23:39:44.781 az=93:50:01.685
alt=33:29:20.565 az=92:38:07.330
alt=45:23:29.342 az=90:29:02.265
alt=56:15:41.576 az=86:44:54.813
alt=68:37:05.782 az=79:40:31.759
alt=75:00:41.550 az=72:01:56.312
alt=80:23:06.769 az=56:42:31.065
# 79.8
alt=80:56:51.056 az=76:25:28.088
alt=73:19:59.939 az=69:55:48.260
alt=68:50:48.323 az=67:32:47.622
alt=61:26:31.955 az=66:34:44.758
alt=52:08:23.192 az=65:39:50.244
alt=42:20:15.804 az=65:48:25.573
alt=31:04:51.272 az=65:49:10.103
alt=19:43:11.358 az=65:49:14.996
alt=13:05:15.269 az=65:50:00.387
# 57.4
alt=15:39:31.488 az=42:20:26.758
alt=21:57:48.783 az=42:50:47.931
alt=32:25:50.340 az=43:23:03.749
alt=40:44:07.607 az=44:48:29.431
alt=50:42:15.942 az=47:51:54.809
alt=64:00:28.251 az=54:17:15.091
alt=74:09:09.671 az=65:08:24.218
alt=82:25:59.513 az=93:09:39.085
# 33.0
alt=80:08:45.329 az=96:10:54.954
alt=72:54:05.787 az=56:36:54.704
alt=62:38:22.376 az=40:29:06.714
alt=50:13:12.986 az=29:00:10.498
alt=41:28:12.070 az=20:42:42.145
alt=34:23:07.768 az=15:46:05.884
alt=25:12:33.736 az=15:30:20.375
alt=16:25:27.547 az=15:31:03.344
# 11.4
alt=24:55:56.179 az=354:28:50.513
alt=45:16:58.185 az=359:44:02.946
alt=57:45:27.050 az=345:10:24.304
alt=74:00:29.301 az=307:09:03.838
alt=75:18:34.182 az=260:58:40.420
# 347.2 - C?
alt=76:50:04.171 az=249:30:21.370
alt=74:15:44.836 az=292:13:04.720
# 326.4 - CE
alt=14:19:27.800 az=339:24:58.407
alt=23:40:02.386 az=338:46:57.069
alt=31:41:12.043 az=337:15:28.777
alt=39:02:57.915 az=333:17:43.113
alt=53:02:25.837 az=323:08:23.285
alt=66:35:51.295 az=311:55:04.180
alt=75:49:56.028 az=297:16:39.326
alt=82:20:20.410 az=230:09:07.670
# 309.8 - CE
alt=83:57:38.107 az=243:47:14.743
alt=76:02:53.350 az=291:35:10.168
alt=70:09:03.704 az=299:17:00.432
alt=63:45:57.983 az=304:48:48.411
alt=54:16:58.223 az=309:58:40.011
alt=43:04:01.420 az=314:09:09.793
alt=32:42:56.266 az=316:07:21.071
alt=21:25:10.184 az=317:14:39.122
alt=11:37:56.651 az=318:06:26.640
# 278.6 - CE
alt=11:37:56.651 az=318:06:26.640



# 227.31 - CE
alt=78:41:36.792 az=308:17:05.854

# 206.68 - CE
alt=76:35:35.625 az=303:00:09.854
alt=72:39:37.265 az=254:06:00.897
alt=66:40:58.752 az=239:54:15.192
alt=59:56:04.176 az=231:27:18.896
alt=48:51:52.415 az=225:20:19.043
alt=37:11:44.019 az=221:52:35.385
alt=26:49:25.768 az=220:15:37.654

# 182.94 - CE
alt=30:58:28.168 az=197:58:38.558
alt=39:59:27.551 az=199:34:07.917
alt=52:30:00.872 az=203:55:21.677
alt=62:30:16.626 az=210:54:24.341
alt=72:57:17.210 az=231:04:28.027
alt=76:48:32.602 az=266:44:19.596
alt=74:55:48.428 az=302:29:30.915

# 157.97 - CE
alt=73:31:05.137 az=299:31:22.806
alt=77:13:37.799 az=217:37:27.653
alt=68:49:25.656 az=190:38:19.151
alt=56:43:59.744 az=179:39:16.716
alt=46:13:26.997 az=175:00:54.756
d
